,name,link,employer,salary_min,salary_max,salary_currency
54,Python разработчик,https://hh.ru/vacancy/42766512?query=Python, Филиал компании Лист Ренталс Лимитед,1500.0,4000.0,USD
55,Python-разработчик,https://hh.ru/vacancy/43002250?query=Python, IVIDEON,170000.0,230000.0,руб.
56,"Python-разработчик (Django, DRF)",https://hh.ru/vacancy/39736489?query=Python,ООО Фабрика Решений,60000.0,150000.0,руб.
57,Python / C++ разработчик,https://hh.ru/vacancy/42783010?query=Python, Wunder Fund,150000.0,200000.0,руб.
58,Программист-математик/Алгоритмист (США),https://hh.ru/vacancy/42251823?query=Python,ООО Parascript,,7000.0,USD
59,Python/Django разработчик,https://hh.ru/vacancy/42799332?query=Python, idaproject,70000.0,,руб.
60,Аналитик данных со знанием Python,https://hh.ru/vacancy/43004074?query=Python,Разработчик решений по обработке данных,100000.0,150000.0,руб.
61,Программист Python,https://hh.ru/vacancy/42844642?query=Python,ООО Артистраж,60000.0,200000.0,руб.
62,Разработчик Python,https://hh.ru/vacancy/42564873?query=Python, GRAFFIT,,50000.0,руб.
63,Python Backend Developer,https://hh.ru/vacancy/42965532?query=Python, Кан Александр Сергеевич,40000.0,50000.0,руб.
64,Data Scientist (компьютерное зрение),https://hh.ru/vacancy/42813933?query=Python,ООО Дип Системс,70000.0,400000.0,руб.
65,Python разработчик,https://hh.ru/vacancy/42844788?query=Python, Университет искусственного интеллекта,70000.0,80000.0,руб.
66,Quantitative researcher,https://hh.ru/vacancy/42932744?query=Python, Wunder Fund,350000.0,,руб.
67,Backend-разработчик Python,https://hh.ru/vacancy/42588879?query=Python,ООО Мирамедикс,170000.0,230000.0,руб.
68,Python Backend разработчик,https://hh.ru/vacancy/42555938?query=Python,ООО Декаст Инжиниринг,150000.0,250000.0,руб.
69,Data Engineer,https://hh.ru/vacancy/41469811?query=Python,ООО Айти-Солюшнс,250000.0,,руб.
70,Middle разработчик Python / Django (удалённо),https://hh.ru/vacancy/42822407?query=Python,ООО Диджитал Пайн,60000.0,120000.0,руб.
71,Аналитик / Data Analyst (Product Analyst),https://hh.ru/vacancy/42814545?query=Python,ООО Далитикс,100000.0,,руб.
72,Python-разработчик,https://hh.ru/vacancy/42277259?query=Python, ivi,160000.0,200000.0,руб.
73,Разработчик Python,https://hh.ru/vacancy/41784502?query=Python,ООО Доверенная среда,180000.0,,руб.
